Id,Old Name,New Name,Notes
1210,Lifted Flower Permanent Marker - 3.5g,Lifted Cannabis Lifted Permanent Marker Flower 2,renamed
1180,Mama J's Pre-roll RS-11 - 3.5g,Mama Js Mama J's Rs-11 Pre-roll 3.5g,renamed
1174,Fireline Cannabis Live Resin Skatalite - 1g,Fireline Cannabis Skatalite Live Resin 1g,renamed
1165,Lifted Cartridge Emergen-C - 1g,Lifted Cannabis Lifted Emergen-c Cartridge 1g,renamed
1151,Fireline Cannabis Blunt Skunk GMO - 1g,Fireline Cannabis Skunk Gmo Blunt 1g,renamed
1148,Smokiez Fruit Chews Sour Guava Live Resin Indica - 2.12oz,Pacific Northwest Consulting Smokiez Sour Guava Live Resin Fruit Chews,renamed
1135,Solr Bear Pod SilverFace - 1g,Edgemont Group Llc Solr Bear Silverface Pod 1g,renamed
1114,Rainbow Cartridge Blue Rasperry - 1g,Mama Js Rainbow Blue Rasperry Cartridge 1g,renamed
1108,Fireline Flower Blue Tangie - 1g,Fireline Cannabis Fireline Blue Tangie Flower 1g,renamed
1106,Fireline Flower White Fire OG - 1g,Fireline Cannabis White Fire Og Flower 1g,renamed
1091,Full Spec Live Resin Cartridge MAC - 1g,Edgemont Group Full Spec Mac Live Resin Cartridge 1g,renamed
1076,Mama J's Pre-roll Tropicana Banana - 5g,Mama Js Mama J's Tropicana Banana Pre-roll 5g,renamed
1071,Fireline Pre-roll Gelato Cake - 1g,Fireline Cannabis Fireline Gelato Cake Pre-roll 1g,renamed
1011,Mama J's Pre-roll Apple Fritter - 3.5g,Mama Js Mama J's Apple Fritter Pre-roll 3.5g,renamed
1004,Fireline Blunt Skatalite - 1g,Fireline Cannabis Fireline Skatalite Blunt 1g,renamed
1000,Smokiez Fruit Chews Sour Watermelon Live Resin Indica - 2.12oz,Pacific Northwest Consulting Smokiez Sour Watermelon Live Resin Indica,renamed
993,Bodhi High Live Resin Cartridge Platinum Kush Mints - 1g,Conscious Cannabis Bodhi High Platinum Kush Mints Live Resin Cartridge 1g,renamed
992,Bodhi High Disposable Cartridge Apple Slapz - 1g,Conscious Cannabis Bodhi High Apple Slapz Disposable Cartridge 1g,renamed
951,NWCS Marmas THC:THCV pamplemousse - 1.78oz,Nwcs Thc:thcv Pamplemousse Marmas 1.78oz,renamed
950,Ganesh Vapes Migo,Ganesh Vapes Devices,renamed
949,4.20 Minis Chocolate Milk Chocolate 200mg CBG + 100mg THC - 1.2oz,Evergreen Herbal 4.20 Minis Milk Chocolate 200mg CBG + 100mg THC Chocolate,renamed
940,Mama J's Pre-roll Runtz - 5g,Mama Js Mama J's Runtz Pre-roll 5g,renamed
938,Mama J's Pre-roll Pack Sour Apple - 3.5g,Mama Js Mama J's Sour Apple Pre-roll 3.5g,renamed
936,Fireline Pre-roll Krazy Runtz - 4g,Fireline Cannabis Fireline Krazy Runtz Pre-roll 4g,renamed
922,Mr. Moxey's Mints 25:1 CBD Zen Peppermint - 0.44oz,Botanica Seattle Mr. Moxey's 25:1 CBD Zen Peppermint Mints 2,renamed
918,Honey Tree Cartridge Animal Mints - 1g,Conscious Cannabis Honey Tree Animal Cookies Cartridge 1g,renamed
876,Mama J's Pre-roll Pack Sour Apple - 3.5g,Mama Js Mama J's Sour Apple Pre-roll 2,renamed
868,Fireline Cannabis Diamonds and Sauce Skatalite - 1g,Fireline Cannabis Skatalite Diamonds 1g,renamed
856,Bodhi High Cartridge Orange Push Pop - 1g,Conscious Cannabis Bodhi High Orange Push Pop Cartridge 1g,renamed
837,Smokiez Fruit Chews Sour Mango Sativa - 1.2oz,Pacific Northwest Consulting Smokiez Sour Mango Sativa Fruit Chews 1.2oz,renamed
781,Fireline Pre-roll Krazy Runtz - 1g,Fireline Cannabis Fireline Krazy Runtz Pre-roll 1g,renamed
767,Bodhi High Disposable Cartridge Galactic Jack - 1g,Conscious Cannabis Bodhi High Galactic Jack Disposable Cartridge 1g,renamed
758,Mama J's Flower Grape Stomper - 3.5g,Mama Js Mama J's Grape Stomper Flower 3.5g,renamed
749,Fireline Flower Skatalite - 1g,Fireline Cannabis Skatalite Flower 1g,renamed
733,Full Spec Live Resin Cartridge MAC - 1g,Edgemont Group Full Spec Mac Live Resin Cartridge 2,renamed
718,Leafwerx Cartridge Candy Apple - 1g,Five O 2 Leafwerx Candy Apple Cartridge 1g,renamed
680,Ganesh Vapes Vaporizer,Ganesh Vapes 2,renamed
676,Sinners and Saints Hard Candy Watermelon Hard Candy - 1.76oz,Evergreen Herbal Sinners And Saints Watermelon Hard Candy Hard Candy 1.76oz,renamed
669,Leafwerx Cartridge Chocolope - 1g,Five O 2 Leafwerx Chocolope Cartridge 1g,renamed
653,Mama J's Pre-roll Jack and Coke - 5g,Mama Js Mama J's Jack And Coke Pre-roll 5g,renamed
631,Bodhi High Platinum Ice Live Resin Bubba's Gift - 1g,Conscious Cannabis Bodhi High Bubba's Gift Bho 1g,renamed
599,Suspended Brands Iceberg GMO - 1g,Suspended Brands Gmo Moon Rocks 2,renamed
583,Full Spec Infused Pre-roll Lemon Runtz - 1.5g,Five O 2 Leafwerx Lemon Runtz Infused Pre-roll 1.5g,renamed
574,Seattle's Private Reserve Flower Gushers - 1g,Seattles Private Reserve Seattle's Private Reserve Gushers Flower 2,renamed
545,RAW Roll Caddy,Raw Other Non Cannabis,renamed
539,Second Nature Flower White Runtz - 28g,Hesperides Second Nature White Runtz Flower 28g,renamed
519,Walden Infused Pre-roll Morning Yoga 1:1 - 1g,Walden Morning Yoga Infused Pre-roll 1g,renamed
495,Hempire Blunt Wrap Clemen-Terp,Hempire Blunt Wrap,renamed
492,Second Nature Pre-roll bottomless mimosa - 1g,Hesperides Second Nature Bottomless Mimosa Pre-roll 1g,renamed
473,Walden Cartridge Hurkle CBD 3:1 - 1g,Walden Hurkle Cartridge 1g,renamed
459,RAW Rolling Tray Xl,Raw Other Non 2,renamed
452,Second Nature Infused Pre-roll GRAPE BUBALICIOUS BOMBER - 1g,Hesperides Second Nature Grape Bubalicious Bomber Infused Pre-roll 1g,renamed
430,Walden Reserve Infused Pre-roll Sour ZkittleZ - 1g,Walden Cannabis Walden Reserve Sour Zkittlez Infused Pre-roll 3,renamed
404,Hempire Blunt Wrap Cali-Cream,Hempire Blunt 2,renamed
403,Second Nature Flower Orangasm - 1g,Hesperides Second Nature Orangasm Flower 1g,renamed
369,Veo Cirrus,Veo Devices,renamed
361,Second Nature Infused Pre-roll 4RILLA BOMBER - 5g,Hesperides Second Nature 4rilla Bomber Infused Pre-roll 5g,renamed
347,Refine Infused Pre-roll GMO Cookies x THCA - 1g,Xtracted Labs Refine Gmo Cookies X THCA Infused Pre-roll 1g,renamed
321,Walden Infused Pre-roll Acapulco Ape - 1g,Walden Acapulco Ape Infused Pre-roll 1g,renamed
303,Refine Rosin Ice Cream Cake - 1g,Xtracted Labs Refine Ice Cream Cake Rosin 1g,renamed
282,Refine Rosin Ice Cream Cake - 1g,Xtracted Labs Refine Ice Cream Cake Rosin 2,renamed
272,Walden Rosin Sonic Sorbet - 1g,Walden Sonic Sorbet Rosin 1g,renamed
268,Ceres Tincture Lifted Sativa 1:1 - 0.51oz,Saturn Group Ceres Lifted Sativa 1:1 Tincture 0.51oz,renamed
266,Ceres Capsule Indica PM 2:1 - 0.29oz,Saturn Group Ceres Indica Pm 2:1 Capsule 0.29oz,renamed
219,Greenway Marijuana Accessory $3,Greenway Marijuana Other Non 2,renamed
205,Walden Infused Pre-roll Acapulco Ape - 1g,Walden Acapulco Ape Infused Pre-roll 2,renamed
204,Walden Infused Pre-roll Juice N Cookies - 1g,Walden Juice N Cookies Infused Pre-roll 1g,renamed
187,Walden Reserve Infused Pre-roll French Cookies - 1g,Walden Cannabis Walden Reserve French Cookies Infused Pre-roll 3,renamed
172,Veo Autodraw,Veo 2,renamed
171,High Hemp Blunt Wrap Maui Mango,High Hemp Blunt Wrap,renamed
168,420 Bar Chocolate Create 1:1 - 3.17oz,Evergreen Herbal 420 Bar Create 1:1 Chocolate 3.17oz,renamed
