Id,Old Name,New Name,Notes
,Royal Tree Rosin Push Pop 1g,Royal Tree Push Pop Rosin 1g,no_vendor_column;no_cannabinoid_columns;renamed
,MFused - Cartridge - KO Kush (H) - 1g,Mfused Ko Kush Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,COLLAB 1g - Birthday Cake (Spencer's Mountain) & Grape Ape (Hannah) (I),Picc Birthday Cake Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Hustler's Ambition Flower (Banana OG 3.5g),Hustler's Ambition Banana Og Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Flower Pre-Rolls - Gas Face - 28g (56x0.5g),Zen Cannabis Gas Face Pre-roll 28g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Fireline Blunt Skatalite - 1g,Fireline Skatalite Blunt 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Torus - Pre-Rolls - Windu 1 - 1g,Torus Windu Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Flower / Pre-Roll - 2 x 0.5g / Blueberry Pie,High End Farms Blueberry Pie Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Blunts N Roses Glass Tip Cones Royal Rose,Blunts N Roses Glass Tip Cones Royal Rose,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name
,Red Label 2pk 0.5g (S) - Animal Face,Fireline Animal Face Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Pioneer Squares Edible Lemon Mandarin - 3.5oz,Pioneer Squares Lemon Mandarin Edible 3.5oz,no_vendor_column;no_cannabinoid_columns;renamed
,Loconut - LO TOPICAL (500mg THC) - Indica - 10mg,Clarity Farms Indica Topical 10mg,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Honey Stixx Infused Pre-roll - Strawberry Bliss - Flavored - Sativa,Honey Stixx Strawberry Bliss Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,3.5g - DOH / Spritzer (H),Tilted Spritzer Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - 5/1G Pre-Roll - Wedding Cake - 5g,Ooowee Wedding Cake Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,A.C. Flower - Gelato Cake - 3.5g (I),Agro Couture Gelato Cake Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Skagit Organics Platinum Rso Harlequin 1g,Skagit Organics Harlequin RSO 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,BFF Besties Infused Preroll 2-Pack - WTF - Watermelon Freeze - 1.5g,Buddies Watermelon Infused Pre-roll 1.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,High End Farms Pre-roll Black Soap 1g,High End Farms Black Soap Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,HashBreak - Hashbreak 2 Pack - Suga Berry - 1g,Torus Suga Berry Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Good Tide Grapefruit Gummies - Sativa Rosin + CBD + CBC - 100mg THC : 100mg CBD : 100mg CBC,Wyld Grapefruit Gummies 40g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,CannaSol Flower Double Durban 4g,Cannasol Double Durban Flower 4g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Burzt - Twisted - 60ml - 100mg - Wild Watermelon,Mfused Wild Watermelon Liquid Infused Edible 60ml,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Const Moonshot Green Apple 100mg,Constellation Green Apple Shots 2ml,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SIGNATURE Pre-Roll - Power - 2pk,Subx Power Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Journeyman Edible 1:1 Sour Apple,Journeyman Sour Apple Edible 3oz,no_vendor_column;no_cannabinoid_columns;renamed
,Juicy Jay Mello Mango Papers,Juicy Jay Mello Mango Papers,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name;master_of_2_duplicates
,Premium Flower - Gorilla Glue #4 - 1g,Budz Bud Gorilla Glue Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Buddies Infused Pre-roll - Mendo Purp - 1g - (I),Buddies Mendo Purp Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Full Spec-Live Resin-Gummies-White Peach-CBD/THC-100mg,Full Spec White Peach Edible 0.95oz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Smokiez Fruit Chews Sour Mango Sativa - 1.2oz,Smokiez Sour Mango Sativa Fruit Chews 1.2oz,no_vendor_column;no_cannabinoid_columns;renamed
,Lil Rays Raspberry Lemonade - 2oz,Ray's Lil Rays Raspberry Lemonade Beverage 2floz,no_vendor_column;no_cannabinoid_columns;renamed
,Torus - Pre-Rolls - Purple Octane - 1g,Torus Purple Octane Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Pre-Rolls -One Piece - 2x.5g,Svin One Piece Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,Animal Tsunami ( I/H ) - Plaid Jacket BHO Cured Resin Cart 1g,Plaid Jacket Animal Tsunami Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,"SusPENded Disposable, Strawberry Ice - 1g",Suspended Strawberry Ice Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SKORD - Ceramic Cartridge - 01g - Cake Donut,Skord Cake Donut Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Jelly Gems - JG Jelly Gems 600mg Total - INDICA - Sootheberry (CHILL),Clarity Farms Sootheberry Edible 0.88oz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Rays Lemonade Beverage Diet Raspberry Lemonade - 12oz,Rays Lemonade Diet Raspberry Lemonade Beverage 12floz,no_vendor_column;no_cannabinoid_columns;renamed
,Constellation Cold Cure 1g - Dulce De Uva,Constellation Dulce De Uva Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,mfused battery-purple,Mfused Battery Purple,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name;master_of_2_duplicates;renamed
,FDG Pre-Rolls - Chem Trailz - 2pk (0.5g x 2),Fdg Chem Trailz Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Infused Bubble Hash Little Snappers - Orange Truffle - 2pk (2x0.5g),Heavenly Buds Orange Truffle Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Shatter J's Infused Pre-roll Blackberry Pie - 5g,Shatter J's Blackberry Pie Infused Pre-roll 5g,no_vendor_column;no_cannabinoid_columns;renamed
,2pk Joints - Blue Hawaiian - 2g,Greenleaf Mj Blue Hawaiian Pre-roll 2g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Gushy Enhanced Dab - 1g / Watermelon Punch (H),Tilted Watermelon Punch Badder 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Zoots - Gummies - SOAR - THC - Strawberry,Zoots Strawberry Gummies 40g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Greenway Marijuana Pipe $5,Greenway Marijuana Pipe 5,no_vendor_column;no_cannabinoid_columns;noncannabis_cleaned_original_name;renamed
,Mfused - Disposable - Galactic Grape (I) 1g,Mfused Galactic Grape Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Hustler's Ambition Flower (Garlic Mintz/3.5g - Indica),Local Farmers Garlic Mintz Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Nano Doozies - Peach Mango 3:1 ELEVATE 10 Pk (80g) (300mg CBD;100mg THC),Green Revolution Peach Mango Edible 2.8oz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - JUICED Hydrocarbon Concentrate - Orange Sunrise - Mr. Bad - 1g,Ooowee Mr. Bad Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,SPR - 1g HASH ROSIN - Blue Slushie,Spr Blue Slushie Hash Rosin 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Pastime Liquid Diamonds Disposable Vape - Zourz,Pastime Zourz Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Tasty Terps-Badder-Gummy Bears-1g,Clarity Farms Gummy Bears Badder 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Knots Infused Pre-roll Lava Cherries x Oranges & Onions - 1g,Knots Lava Cherries X Oranges Onions Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Clout King Pre-roll ZZ Bow 1g,Clout King Zz Bow Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,HTE Honey - Face Off OG - .7g,Legit Mini Face Off Og Infused Pre-roll 0.7g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Thunder Stix-Tilted-DOH-Glass Tip PreRoll 3-Pack (3.6g) / Gorilla Glue (IH),Tilted Gg 4 Infused Pre-roll 3.6g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,2727 - Blunts - Blueberry Tropicana Cookies - 1.5g,2727 Tropicanna Cookies Blunt 1.5g,no_vendor_column;no_cannabinoid_columns;master_of_4_duplicates;renamed
,Wildside Beverage blackberry lemonade 2:1 - 12oz,Wildside Blackberry Lemonade 2:1 Beverage 12floz,no_vendor_column;no_cannabinoid_columns;renamed
,Ooowee Disposable Cartridge blueberry dream - 1g,Ooowee Blueberry Dream Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;renamed
,House of Cultivar Flower Eye Candy - 3.5g,House Of Cultivar Eye Candy Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
